Date,Recovery,Grade
2023-05-04,91.63192948343516,52.32597030078105
2023-02-03,75.09601765888037,88.62040686668038
2023-03-26,92.441260968978,45.70652890742147
2023-11-03,78.32870764298623,87.36646612862694
2023-10-13,88.04421917237725,71.61695214956298
2023-07-21,83.80310411212037,82.12883631095276
2023-10-14,79.77373316926523,86.48397276135753
2023-06-11,94.64766026908492,21.13712924246211
2023-03-10,80.46350817808379,85.96386831883383
2023-10-24,85.48862483857428,78.97340523554959
2023-11-07,84.33149220165781,81.25148883495535
2023-09-07,77.66787836098743,87.69250905046646
2023-07-26,84.87836937800532,80.2403262892055
2023-08-05,84.9148979306928,80.16876384919195
2023-06-22,89.28415305951346,66.44317223198797
2023-03-22,79.17425079608321,86.8812407320187
2023-07-02,81.78190798583555,84.74612084640111
2023-08-21,82.28569261991642,84.18916884263501
2023-01-31,85.77473712848459,78.3240342608471
2023-04-27,89.73625983886873,64.21386199865366
2023-12-18,77.8110426309921,87.62548401912093
2023-10-02,81.7379570880649,84.79210100453099
2023-01-21,72.23505092082961,89.22151435161794
2023-01-07,89.75044208762795,64.14061708526789
2023-04-16,94.71810592824646,20.160044200884585
2023-01-09,84.48390574103222,80.98070437022037
2023-11-17,81.40197805724104,85.13055141179693
2023-03-11,85.2597269789807,79.46681774660068
2023-08-27,87.13129365389051,74.68483025544965
2023-09-21,84.73716351865227,80.51209531151818
2023-05-16,88.3821664747325,70.33149967136495
2023-04-01,82.98411526513411,83.31806146017668
2023-11-21,79.21322370404573,86.85683632090863
2023-02-14,82.45173909124173,83.99295521539923
2023-12-14,85.78351927636182,78.30350822831264
2023-09-03,76.61998096835012,88.12879747317427
2023-12-09,81.56081194485658,84.97338154861902
2023-06-08,79.26265673794448,86.8256069758172
2023-08-19,77.87969545508734,87.59265571369791
2023-01-14,85.60837508246414,78.706129900173
2023-01-01,93.82026172983832,31.639608093360295
2023-01-17,92.47039536578804,45.44768279467712
2023-01-04,96.20446599600729,-4.017251515860707
2023-01-28,,81.70708742849874
2023-05-29,78.42046294744239,87.31769182687117
2023-11-22,,82.6823236294081
2023-11-27,88.73594167102316,68.88943919825647
2023-10-27,86.8502794392376,75.52184472304276
2023-08-02,82.66790451632029,83.72755647106541
2023-05-30,82.69207697592645,83.6971589744775
2023-03-02,81.63769776112025,84.8954890682362
2023-05-18,,81.88035578427647
2023-09-05,90.3980929601841,60.56443359007231
2023-09-20,82.01842980774745,84.49161732569364
2023-09-19,82.46591822850657,83.97589609596058
2023-02-27,86.5123594886989,76.46800352081803
2023-12-06,,37.43051127479956
2023-12-23,75.78465224921676,88.41669324513357
2023-10-25,87.91476839876647,72.08678385122393
2023-08-22,87.08025023130713,74.84038264810548
2023-03-19,82.10575167617792,84.39457192024426
2023-10-11,,43.52278710375557
2023-07-07,,79.46450352643888
2023-04-18,81.26272594279621,85.2642965402264
2023-08-04,82.94975153398725,83.36382727950583
2023-11-06,84.20213280926866,81.47492641462578
2023-02-04,83.26043925336924,82.93839089798712
2023-09-12,88.45769375535093,70.03214273320563
2023-09-08,87.60532438226379,73.16180244647855
2023-04-29,88.07039685173041,71.52045465550769
2023-12-01,71.7041388100163,89.29993853804666
2023-09-10,85.7097658166039,78.47477333061589
2023-10-22,84.32025149660839,81.2711346301476
2023-08-23,79.21908784089044,86.85314776992676
2023-02-17,88.88745177915955,68.23995589595577
